Movie,Year,Url
Split,(IX) (2016),https://www.imdb.com/title/tt4972582/
About Time,(I) (2013),https://www.imdb.com/title/tt2194499/
Zack Snyder's Justice League,(2021),https://www.imdb.com/title/tt12361974/
Old,(2021),https://www.imdb.com/title/tt10954652/
Home Alone 3,(1997),https://www.imdb.com/title/tt0119303/
Aliens,(1986),https://www.imdb.com/title/tt0090605/
2001: A Space Odyssey,(1968),https://www.imdb.com/title/tt0062622/
Fresh,(2022),https://www.imdb.com/title/tt13403046/
Jojo Rabbit,(2019),https://www.imdb.com/title/tt2584384/
The Dark Knight Rises,(2012),https://www.imdb.com/title/tt1345836/
Interview with the Vampire: The Vampire Chronicles,(1994),https://www.imdb.com/title/tt0110148/
Spider-Man: Into the Spider-Verse,(2018),https://www.imdb.com/title/tt4633694/
Oldboy,(2003),https://www.imdb.com/title/tt0364569/
Prometheus,(I) (2012),https://www.imdb.com/title/tt1446714/
Scarface,(1983),https://www.imdb.com/title/tt0086250/
Wrath of Man,(2021),https://www.imdb.com/title/tt11083552/
Shazam!,(2019),https://www.imdb.com/title/tt0448115/
The Avengers,(2012),https://www.imdb.com/title/tt0848228/
Star Wars: Episode IX - The Rise of Skywalker,(2019),https://www.imdb.com/title/tt2527338/
Kill Bill: Vol. 1,(2003),https://www.imdb.com/title/tt0266697/
Kick-Ass,(2010),https://www.imdb.com/title/tt1250777/
Logan,(2017),https://www.imdb.com/title/tt3315342/
Red Notice,(2021),https://www.imdb.com/title/tt7991608/
Terminator 2: Judgment Day,(1991),https://www.imdb.com/title/tt0103064/
The Big Lebowski,(1998),https://www.imdb.com/title/tt0118715/
The Terminator,(1984),https://www.imdb.com/title/tt0088247/
The Lion King,(1994),https://www.imdb.com/title/tt0110357/
Baby Driver,(2017),https://www.imdb.com/title/tt3890160/
Basic Instinct,(1992),https://www.imdb.com/title/tt0103772/
6 Underground,(2019),https://www.imdb.com/title/tt8106534/
Man of Steel,(2013),https://www.imdb.com/title/tt0770828/
The Last Duel,(2021),https://www.imdb.com/title/tt4244994/
Scott Pilgrim vs. the World,(2010),https://www.imdb.com/title/tt0446029/
Divergent,(2014),https://www.imdb.com/title/tt1840309/
Kingsman: The Secret Service,(2014),https://www.imdb.com/title/tt2802144/
Star Wars: Episode I - The Phantom Menace,(1999),https://www.imdb.com/title/tt0120915/
Jurassic World,(2015),https://www.imdb.com/title/tt0369610/
Spaceballs,(1987),https://www.imdb.com/title/tt0094012/
Snowpiercer,(2013),https://www.imdb.com/title/tt1706620/
Life Is Beautiful,(1997),https://www.imdb.com/title/tt0118799/
A Serbian Film,(2010),https://www.imdb.com/title/tt1273235/
Bohemian Rhapsody,(2018),https://www.imdb.com/title/tt1727824/
Batman Begins,(2005),https://www.imdb.com/title/tt0372784/
Bumblebee,(I) (2018),https://www.imdb.com/title/tt4701182/
Solo: A Star Wars Story,(2018),https://www.imdb.com/title/tt3778644/
Spider-Man: Homecoming,(2017),https://www.imdb.com/title/tt2250912/
Scream,(1996),https://www.imdb.com/title/tt0117571/
Jaws,(1975),https://www.imdb.com/title/tt0073195/
All Quiet on the Western Front,(1930),https://www.imdb.com/title/tt0020629/
Jumanji: Welcome to the Jungle,(2017),https://www.imdb.com/title/tt2283362/
Once Upon a Time in the West,(1968),https://www.imdb.com/title/tt0064116/
Trainspotting,(1996),https://www.imdb.com/title/tt0117951/
True Lies,(1994),https://www.imdb.com/title/tt0111503/
E.T. the Extra-Terrestrial,(1982),https://www.imdb.com/title/tt0083866/
Orphan,(2009),https://www.imdb.com/title/tt1148204/
Annihilation,(I) (2018),https://www.imdb.com/title/tt2798920/
Point Break,(1991),https://www.imdb.com/title/tt0102685/
Baywatch,(2017),https://www.imdb.com/title/tt1469304/
Toy Story,(1995),https://www.imdb.com/title/tt0114709/
The Maze Runner,(2014),https://www.imdb.com/title/tt1790864/
Star Wars: Episode V - The Empire Strikes Back,(1980),https://www.imdb.com/title/tt0080684/
Zero Dark Thirty,(2012),https://www.imdb.com/title/tt1790885/
Angel Has Fallen,(2019),https://www.imdb.com/title/tt6189022/
Star Wars: Episode VI - Return of the Jedi,(1983),https://www.imdb.com/title/tt0086190/
